title,abstract,publication_date,source_database,url,year_abs,jd,am_day,content,date_str,source
"Calculating the Middle Ages? The Project ""Complexities and Networks in
  the Medieval Mediterranean and Near East"" (COMMED)","The project ""Complexities and networks in the Medieval Mediterranean and Near
East"" (COMMED) at the Division for Byzantine Research of the Institute for
Medieval Research (IMAFO) of the Austrian Academy of Sciences focuses on the
adaptation and development of concepts and tools of network theory and
complexity sciences for the analysis of societies, polities and regions in the
medieval world in a comparative perspective. Key elements of its methodological
and technological toolkit are applied, for instance, in the new project
""Mapping medieval conflicts: a digital approach towards political dynamics in
the pre-modern period"" (MEDCON), which analyses political networks and conflict
among power elites across medieval Europe with five case studies from the 12th
to 15th century. For one of these case studies on 14th century Byzantium, the
explanatory value of this approach is presented in greater detail. The
presented results are integrated in a wider comparison of five late medieval
polities across Afro-Eurasia (Byzantium, China, England, Hungary and Mamluk
Egypt) against the background of the {\guillemotright}Late Medieval
Crisis{\guillemotleft} and its political and environmental turmoil. Finally,
further perspectives of COMMED are outlined.",2015-12-11,arxiv,http://arxiv.org/abs/1606.03433v1,2015,2457367.5,719203.5,,,
"Unveiling Factors for Enhanced POS Tagging: A Study of Low-Resource
  Medieval Romance Languages","Part-of-speech (POS) tagging remains a foundational component in natural
language processing pipelines, particularly critical for historical text
analysis at the intersection of computational linguistics and digital
humanities. Despite significant advancements in modern large language models
(LLMs) for ancient languages, their application to Medieval Romance languages
presents distinctive challenges stemming from diachronic linguistic evolution,
spelling variations, and labeled data scarcity. This study systematically
investigates the central determinants of POS tagging performance across diverse
corpora of Medieval Occitan, Medieval Spanish, and Medieval French texts,
spanning biblical, hagiographical, medical, and dietary domains. Through
rigorous experimentation, we evaluate how fine-tuning approaches, prompt
engineering, model architectures, decoding strategies, and cross-lingual
transfer learning techniques affect tagging accuracy. Our results reveal both
notable limitations in LLMs' ability to process historical language variations
and non-standardized spelling, as well as promising specialized techniques that
effectively address the unique challenges presented by low-resource historical
languages.",2025-06-21,arxiv,http://arxiv.org/abs/2506.17715v1,2025,2460847.5,722683.5,,,
Study by the Methods of Physics of some Medieval Coins,"A number of medieval coins from the Brukenthal Museum, Sibiu, Romania have
been analyzed by the means of three methods: gamma transmission, X-ray
fluoresecence and neutron activation analysis. The values of the concentrations
of the elements determined given by the three methods are discussed.",1999-08-30,arxiv,http://arxiv.org/abs/nucl-ex/9908021v1,1999,2451420.5,713256.5,,,
"A Vector-Algebraic Reconstruction of the Medieval Arab Formula for the
  Shadow of a Gnomon","We present a modern reconstruction of the classical formula, first derived by
medieval Arab astronomers, that describes the trajectory of the tip of a
gnomon's shadow during the day as a function of latitude, solar declination,
and gnomon height. Unlike the traditional derivations based on spherical
trigonometry, our approach uses only elementary vector algebra and rotation
matrices. The same vector framework naturally extends to other classical
relations used in sundial construction.",2025-10-14,arxiv,http://arxiv.org/abs/2510.12913v1,2025,2460962.5,722798.5,,,
"Datamining a medieval medical text reveals patterns in ingredient choice
  that reflect biological activity against the causative agents of specified
  infections","The pharmacopeia used by physicians and lay people in medieval Europe has
largely been dismissed as placebo or superstition. While we now recognise that
some of the materia medica used by medieval physicians could have had useful
biological properties, research in this area is limited by the labour-intensive
process of searching and interpreting historical medical texts. Here, we
demonstrate the potential power of turning medieval medical texts into
contextualised electronic databases amenable to exploration by algorithm. We
use established methodologies from network science to reveal statistically
significant patterns in ingredient selection and usage in a key text, the
fifteenth-century Lylye of Medicynes, focusing on remedies to treat symptoms of
microbial infection. We discuss the potential that these patterns reflect
rational medical decisions. In providing a worked example of data-driven
textual analysis, we demonstrate the potential of this approach to encourage
interdisciplinary collaboration and to shine a new light on the
ethnopharmacology of historical medical texts.",2018-07-18,arxiv,http://arxiv.org/abs/1807.07127v1,2018,2458317.5,720153.5,,,
"Why modeling? The visual as a reflection of intellectual perspectives in
  medieval history","This article examines the importance of graphic representations in the social
sciences, and particularly in (medieval) history, taking as its starting point
a reflection by {\'E}tienne-Jules Marey, a physiologist and pioneer of
19th-century photography and cinema. Marey believed that the visual should
replace language in many fields. Indeed, the twentieth and early twenty-first
centuries saw an exponential multiplication of visual media, particularly with
the advent of digital technology. However, this ''graphics revolution'' has not
affected all disciplines equally. Significant differences remain between
scientific fields such as astrophysics, anthropology, chemistry and medieval
history, despite their shared commitment to describing dynamic processes and
changes of state. Yet, while historians have already digitized a large part of
the cultural heritage from Antiquity to the 10th-13th centuries, exploration of
this corpus using visualizations remains limited. There is therefore untapped
potential in this field.This article begins by outlining a typology and
quantification of the past and potential roles of visual representations in
medieval history. It examines two distinct intellectual approaches: 1. the use
of visuals to support a scientific discourse (majority) and 2. the construction
of a historical discourse based on observations made from visual figures with
the aim of modeling phenomena invisible to the naked eye. The author thus
examines the use of ''images'' in medievalism, focusing on the annual volumes
of the Soci{\'e}t{\'e} des historiens m{\'e}di{\'e}vistes de l'enseignement
sup{\'e}rieur (SHMESP), up to 2006. Two other parts of the text look at the
still-rare forms of visual representation in medieval history, particularly
those with a ''heuristic vocation'', using iconographic objects, parchments,
buildings and digitized texts. The article suggests various visualization
techniques, such as network analysis, the creation of ''stemmas 2.0'' and
interactive chronologies, which could benefit the discipline. These methods
could potentially profoundly change our understanding of ancient societies, by
showing the dynamic relationships between different aspects of these societies.
One of the most important advances expected from these visual methods is a
better understanding of the patterns of development in medieval Europe, which
varied from region to region. The hypothesis is that the scarcity of heuristic
graphics in medieval history stems from the relationship with ancient documents
and the historical method based on narration and exemplarity. The article thus
questions the value of ''visual modelling'' in medieval history, and highlights
the challenges associated with the widespread adoption of this approach in the
humanities and social sciences. Finally, the text invites us to reflect on the
nature and functioning of heuristic visual devices, by comparing medieval
''images'' and contemporary scientific visuals. In both cases, the point is to
materialize the invisible in order to show something that exists beyond the
visual. The author suggests that this way of approaching visuals could play a
growing role in the decades to come, particularly in the field of data science.",2023-09-06,arxiv,http://arxiv.org/abs/2310.05949v1,2023,2460193.5,722029.5,,,
Mining a medieval social network by kernel SOM and related methods,"This paper briefly presents several ways to understand the organization of a
large social network (several hundreds of persons). We compare approaches
coming from data mining for clustering the vertices of a graph (spectral
clustering, self-organizing algorithms. . .) and provide methods for
representing the graph from these analysis. All these methods are illustrated
on a medieval social network and the way they can help to understand its
organization is underlined.",2008-05-09,arxiv,http://arxiv.org/abs/0805.1374v1,2008,2454595.5,716431.5,,,
From Rome to the Antipodes: the medieval form of the world,"Here we discuss how some medieval scholars in the Western Europe viewed the
form of the world and the problem of the Antipodes, starting from the Natural
History written by Pliny and ending in the Hell of Dante Alighieri. From the
center of the Earth, Dante and Virgil came to the Antipodes: eventually, their
existence was accepted. Among the others, we will discuss the works of the
Venerable Bede and Sylvester the Second.",2012-11-13,arxiv,http://arxiv.org/abs/1211.3004v2,2012,2456244.5,718080.5,,,
Robert Grosseteste's thought on Light and Form of the World,"Robert Grosseteste was one of the most prominent thinkers of the Thirteenth
Century. Philosopher and scientist, he proposed a metaphysics based on the
propagation of light. In this framework, he gave a cosmology too. Here we will
discuss the treatise where Grosseteste proposed it, that entitled 'De luce, seu
de incohatione formarum', 'On Light and the Beginning of Forms'.",2014-04-13,arxiv,http://arxiv.org/abs/1404.3371v1,2014,2456760.5,718596.5,,,
"Spectral Domain Decomposition Method for Natural Lighting and Medieval
  Glass Rendering","In this paper, we use an original ray-tracing domain decomposition method to
address image rendering of naturally lighted scenes. This new method allows to
particularly analyze rendering problems on parallel architectures, in the case
of interactions between light-rays and glass material. Numerical experiments,
for medieval glass rendering within the church of the Royaumont abbey,
illustrate the performance of the proposed ray-tracing domain decomposition
method (DDM) on multi-cores and multi-processors architectures. On one hand,
applying domain decomposition techniques increases speedups obtained by
parallelizing the computation. On the other hand, for a fixed number of
parallel processes, we notice that speedups increase as the number of
sub-domains do.",2019-12-09,arxiv,http://arxiv.org/abs/1912.05494v1,2019,2458826.5,720662.5,,,
