id,title,content,date_str,year_abs,jd,am_day,source,language,category,url,data_hash
1201,Birth and Early Development of Indian Astronomy,"This paper provides an overview of the birth and early development of Indian
astronomy. Taking account of significant new findings from archaeology and
literary analysis, it is shown that early mathematical astronomy arose in India
in the second millennium BC. The paper reviews the astronomy of the period of
the Vedas, the Brahmanas, and the Vedanga Jyotisha. The origins of Puranic
cosmology are also explained.",2001-01-15,2001,2451924.5,713760.5,arxiv,en,scientific_paper,http://arxiv.org/abs/physics/0101063v1,1c857420ff66c7ccc8293fd521877933
1235,"On the astronomical orientation of the IV dynasty Egyptian pyramids and
  the dating of the second Giza pyramid","The data on the astronomical orientation of the IV dynasty Egyptian pyramids
are re-analyzed and it is shown that such data suggest an inverse chronology
between the `first` and the `second` Giza pyramid.",2003-07-21,2003,2452841.5,714677.5,arxiv,en,scientific_paper,http://arxiv.org/abs/physics/0307100v2,26ee02d55937bf9ee6f82a5f106a4927
1234,Democritus as Taoist,"While similarities do naturally exist between tao and other philosophical
systems, for the specific case of Democritus we can argue also the
chronological parallels, the parallels in the posterior development (alchemy
and mathematics) and the textual parallelism.",2003-09-25,2003,2452907.5,714743.5,arxiv,en,scientific_paper,http://arxiv.org/abs/physics/0309104v1,847903ece9648090ae2ac2e8b52a6c81
1200,On the Astronomical Records and Babylonian Chronology,"We outline the priority of high quality data of astronomical content as our
strategy for the analysis of the ancient astronomical records in the search of
the absolute chronology of the Near East in II millennium BC. The
correspondingly defined set of data for two lunar eclipses of EAE 20 and 21
tablets linked to Ur III period enables us the choice of eclipses of 27 June
1954 BC and 17 March 1912 BC; here the information on the exit position of the
darkening of the lunar disk acts as a crucial informator survived in the
records. We then discuss why the 56/64 year Venus cycle cannot be traced in the
Venus Tablet and therefore cannot serve as an anchor for the search of
chronologies. The month length method is discussed as well. In sum the
available data support the Ultra-Low Chronology proposed in the book by
H.Gasche, J.A.Armstrong, S.W.Cole and V.G.Gurzadyan, ""Dating the Fall of
Babylon"" (1998) and, particularly, leave no astronomical background for the
High Chronology. Ultra-Low Chronology is supported also by archaeological,
dendrochronological, Assyrian king lists and other data as summarized at the
Intern. Colloquium on Ancient Near Eastern Chronology (Ghent, July, 2000).",2003-11-08,2003,2452951.5,714787.5,arxiv,en,scientific_paper,http://arxiv.org/abs/physics/0311035v1,274e2e9ada805e3e17acc6175e9dcd2d
1233,Astronomy and the Fall of Babylon,"This illustrated article represents a popular account of the study of the
Babylonian astronomical records of Enuma Anu Enlil tablet series i.e. of the
Venus Tablet of Ammisaduqa and of two lunar eclipses linked with the IIIrd
dynasty of Ur, having resulted in the proposal of Ultra-Low chronology of the
Near East in II millennium B.C. The emerged Ultra-Low chronology is by 96 years
shorter than the conventional Middle chronology and by now is supported by
various independent studies. Tables of relative chronologies of principal
kingdoms of Mesopotamia are given, along with some dates associated with the
fall of Babylon in II millennium B.C. The technical details are given in the
book by H.Gasche, J.A.Armstrong, S.W.Cole and V.G.Gurzadyan, ""Dating the Fall
of Babylon"" (Mesopotamian History and Environment, Series II, University of
Ghent and Chicago Press, 1998) and in subsequent articles.",2003-11-24,2003,2452967.5,714803.5,arxiv,en,scientific_paper,http://arxiv.org/abs/physics/0311114v1,4ba2e55cfbfba6d2aa09e8645c4ad486
1232,Halley's comet of 87 BC on the coins of Armenian king Tigranes?,"Coins of Armenian king Tigranes II the Great (95-55 BC), silver and
copper-bronze tetradrachms and drachms, clearly reveal a star with a tail on
the royal tiara which may be associated with the Halley's comet passage of 87
BC. If so, one has another case when astronomical events can be useful for
historical chronological problems, this would be a far earlier record of Halley
in Armenia than was previously known from chronicles and also one of the
earliest known images of Halley's comet.",2004-05-14,2004,2453139.5,714975.5,arxiv,en,scientific_paper,http://arxiv.org/abs/physics/0405073v3,4924ce103c7416c9a60677f0258e33a5
1231,On the Available Lunar and Solar Eclipses and Babylonian Chronology,"The recently shown two premises (Gurzadyan 2000), i.e. the absence of 56/64
year Venus cycle constraints, at the importance of the 8-year cycle in the
Venus Tablet, stimulated new studies on the Chronology of the Ancient Near East
(2nd millennium BC). The analysis by B.Banjevic using both premises, however,
did not provide anchors of strenght similar to those of Ur III eclipses, while
available solar eclipses lack unambiguous links to historical events. The
Ultra-Low chronology (Gasche et al 1998), therefore, has to be considered as
currently the one most reliably based on ancient astronomical records.",2006-07-14,2006,2453930.5,715766.5,arxiv,en,scientific_paper,http://arxiv.org/abs/physics/0607137v1,593147ed6c0c361077058a8e0a6d6aae
1230,"How Hilbert has found the Einstein equations before Einstein and
  forgeries of Hilbert's page proofs","A succinct chronology is given around Nov 1915, when the explicit field
equations of General Relativity have been found. Evidence, unearthed by
D.Wuensch, that a decisive document of Hilbert has been mutilated in recent
years with the intention to distort the historical truth is reviewed and
discussed. The procedure how Hilbert has found before Einstein the correct
equations ""easily without calculation"" by invariant-theoretical arguments is
identified for the first time. However, Hilbert has based his derivation on an
incorrect or at least not yet formally proved invariant theoretical fact.",2006-10-19,2006,2454027.5,715863.5,arxiv,en,scientific_paper,http://arxiv.org/abs/physics/0610154v1,424d047bc520b50a296c5b92630c0e39
1199,On the orientation of Roman towns in Italy,"As is well known, several Roman sources report on the existence of a town
foundation ritual, inherited from the Etruscans, which allegedly included
astronomical references. However, the possible existence of astronomical
orientations in the layout of Roman towns has never been tackled in a
systematic way. As a first step in this direction, the orientation of virtually
all Roman towns in Italy (38 cities) is studied here. Non-random orientation
patterns emerge from these data, aiming at further research in this field.",2007-03-23,2007,2454182.5,716018.5,arxiv,en,scientific_paper,http://arxiv.org/abs/physics/0703213v1,11f5eedfa79c6437afed0ab82b987bc4
1229,"Stirring Astronomy into Theology: Sir Isaac Newton on the Date of the
  Passion of Christ","It is known that Sir Isaac Newton suggested a date for the Passion of Christ
in the posthumously published ""Observations upon the Prophecies of Daniel and
the Apocalypse of St. John"" (1733). What was not known is that the first
attempts to find that date were made during the early period of his life. The
Jewish National and University Library in Jerusalem contains two undated drafts
in Latin under the same title, ""Rules for the Determination of Easter"", grouped
as Yahuda MS 24E. The earlier draft contains multiple references to the
virtually forgotten ""De Annis Christi"" (1649), written by Villum Lange, the
17th century Danish astronomer and theologian, who might have been Newton's
first mentor on the Jewish calendar tradition. The second draft shows not only
Newton's close acquaintance with Maimonides' theory of first lunar visibility,
but also his attempt to simplify the latter's criteria by introducing
different, more practical parameters. These ""astronomical exercises"", announced
in a 1673 book, were likely intended to appear as an appendix to Nicholas
Mercator's 1676 book. Both of Yahuda 24E's drafts contain an astronomical table
with the solar and lunar positions for years 30-37, which Newton used to decide
on the year and date of the Passion. The astronomical data comes from either
1651 ""Harmonicon Coeleste"" or 1669 ""Astronomia Britannica"" by Vincent Wing, a
semi-forgotten astronomer of the seventeenth century. This makes Yahuda 24E one
of the earliest of Newton's drafts, likely written in 1669-73 and certainly not
later than 1683/4. A comparison of the two drafts of Yahuda 24E shows that in
the later one, Newton changed his allegiance from St. John's chronology of the
Passion to that shown in the synoptic gospels.",2008-10-23,2008,2454762.5,716598.5,arxiv,en,scientific_paper,http://arxiv.org/abs/0810.4358v1,8c566334b9dd98269762bf187ccd1307
